macroreg,variable,year,value
Southern California,BIRTHS,2013,283056.0
Southern California,BIRTHS,2014,282934.0
Southern California,BIRTHS,2015,283669.0
Southern California,BIRTHS,2016,274223.0
Southern California,BIRTHS,2017,272116.0
Southern California,BIRTHS,2018,258306.0
Southern California,BIRTHS,2019,250145.0
Southern California,BIRTHS,2020,248043.0
Southern California,BIRTHS,2021,223273.0
Southern California,BIRTHS,2022,230006.0
Southern California,DEATHS,2010,-30494.0
Southern California,DEATHS,2011,-127257.0
Southern California,DEATHS,2012,-127363.0
Southern California,DEATHS,2013,-132653.0
Southern California,DEATHS,2014,-129593.0
Southern California,DEATHS,2015,-134834.0
Southern California,DEATHS,2016,-139514.0
Southern California,DEATHS,2017,-140729.0
Southern California,DEATHS,2018,-144800.0
Southern California,DEATHS,2019,-149694.0
Southern California,DEATHS,2020,-164756.0
Southern California,DEATHS,2021,-191315.0
Southern California,DEATHS,2022,-176211.0
Southern California,DOMESTICMIG,2010,-12926.0
Southern California,DOMESTICMIG,2011,-35916.0
Southern California,DOMESTICMIG,2012,-34787.0
Southern California,DOMESTICMIG,2013,-50048.0
Southern California,DOMESTICMIG,2014,-60386.0
Southern California,DOMESTICMIG,2015,-78682.0
Southern California,DOMESTICMIG,2016,-93744.0
Southern California,DOMESTICMIG,2017,-106961.0
Southern California,DOMESTICMIG,2018,-114314.0
Southern California,DOMESTICMIG,2019,-138251.0
Southern California,DOMESTICMIG,2020,-132427.0
Southern California,DOMESTICMIG,2021,-238915.0
Southern California,DOMESTICMIG,2022,-194053.0
Southern California,INTERNATIONALMIG,2010,10251.0
Southern California,INTERNATIONALMIG,2011,51057.0
Southern California,INTERNATIONALMIG,2012,50410.0
Southern California,INTERNATIONALMIG,2013,58660.0
Southern California,INTERNATIONALMIG,2014,65172.0
Southern California,INTERNATIONALMIG,2015,77983.0
Southern California,INTERNATIONALMIG,2016,68246.0
Southern California,INTERNATIONALMIG,2017,52048.0
Southern California,INTERNATIONALMIG,2018,29852.0
Southern California,INTERNATIONALMIG,2019,11888.0
Southern California,INTERNATIONALMIG,2020,10710.0
Southern California,INTERNATIONALMIG,2021,20157.0
Southern California,INTERNATIONALMIG,2022,59256.0
Southern California,RESIDUAL,2010,89.0
Southern California,RESIDUAL,2011,-205.0
Southern California,RESIDUAL,2012,-2977.0
Southern California,RESIDUAL,2013,-2249.0
Southern California,RESIDUAL,2014,-2307.0
Southern California,RESIDUAL,2015,-1473.0
Southern California,RESIDUAL,2016,-317.0
Southern California,RESIDUAL,2017,-295.0
Southern California,RESIDUAL,2018,-91.0
Southern California,RESIDUAL,2019,210.0
Southern California,RESIDUAL,2020,555.0
Southern California,RESIDUAL,2021,-3174.0
Southern California,RESIDUAL,2022,-3524.0
